ParishID,Saturday,Sunday,Monday,Tuesday,Wednesday,Thursday,Friday
43,5:30 PM,"9:00 AM, 11:00 AM",7:00 AM,7:00 AM,7:00 AM,7:00 AM,7:00 AM
44,5:30 PM,"10:00 AM, 12:00 PM","7:30 AM, 12:10 PM","7:30 AM, 12:10 PM",7:30 AM,"7:30 AM, 12:10 PM","7:30 AM, 12:10 PM"
45,5:30 PM,"9:00 AM, 1:00 PM (English), 11:00 AM (Spanish)",12:10 PM,12:10 PM,12:10 PM,12:10 PM,12:10 PM
46,"8:30 AM, 5:00 PM","7:30 AM, 8:45 AM, 10:00 AM - Spanish, 11:30 AM, 1:00 PM","7:00 AM, 8:30 AM","7:00 AM, 8:30 AM","7:00 AM, 8:30 AM","7:00 AM, 8:30 AM","7:00 AM, 8:30 AM"
47,"9:00 AM (English), 5:30 PM (English), 4:00 PM","8:00 AM (English), 9:00 AM (Tagalog, First Sunday Only), 10:00 AM (Spanish), 12:00 PM (English)",7:00 AM,"7:00 AM (English), 7:00 PM (Spanish)",7:00 AM,7:00 PM (Spanish),7:00 AM
48,"{'Vigil': '4:00 PM', 'Daily': '8:00 AM'}","{'English': ['8:00 AM', '12:00 PM'], 'Spanish': ['10:00 AM'], 'At St. Ann’s Nursing Home': '11:00 AM'}",8:00 AM,8:00 AM,8:00 AM,8:00 AM,8:00 AM
49,"8:30 AM, 5:00 PM","8:00 AM, 10:00 AM, 12:00 PM","7:00 AM, 8:30 AM","7:00 AM, 8:30 AM","7:00 AM, 8:30 AM","7:00 AM, 8:30 AM","7:00 AM, 8:30 AM"
50,"{'Regular': '5:00 PM', 'Spanish': '7:00 PM'}","8:00 AM, 10:00 AM, 12:00 PM",7:00 AM,7:00 AM,7:00 AM,7:00 AM,7:00 AM
51,5:30 PM,"9:00 AM, 12:00 Noon, 10:30 AM (Spanish)",8:00 AM,8:00 AM,8:00 AM,8:00 AM,8:00 AM
52,8:30 AM,"9:00 AM, 11:00 AM (Spanish)",8:30 AM,"8:30 AM, 6:30 PM (Spanish)",8:30 AM,"8:30 AM, 6:30 PM (Spanish)",8:30 AM
53,"8:30 AM, 5:00 PM","8:00 AM, 10:00 AM, 12:00 NOON","8:30 AM, 6:30 PM",8:30 AM,"8:30 AM, 6:30 PM",8:30 AM,"8:30 AM, 6:30 PM"
54,{'Vigil': '4:30 PM (English)'},"{'Mass': ['8:00 AM (English)', '10:00 AM (Polish)', '12:00 PM (English)']}",8:00 AM (Polish),6:00 PM (English),6:00 PM (English),8:00 AM (Polish),6:00 PM (English)
55,5:00 PM,"{'Bilingual': '9:00 AM', 'English': '11:30 AM'}",8:30 AM,8:30 AM,8:30 AM,8:30 AM,8:30 AM
56,"{'Vigil': '5:00 PM', 'Morning': 'NA'}",9:00 AM,7:00 AM,7:00 AM,7:00 AM,7:00 AM,7:00 AM
57,"{""Time"": ""5:00 PM"", ""Language"": ""English""}","{""Time"": ""9:00 AM"", ""Language"": ""Portuguese""}, {""Time"": ""10:30 AM"", ""Language"": ""English""}, {""Time"": ""12:00 PM"", ""Language"": ""Spanish""}","{""Time"": ""12:00 PM"", ""Language"": ""English""}","{""Time"": ""12:00 PM"", ""Language"": ""English""}, {""Time"": ""7:30 PM"", ""Language"": ""Spanish""}","{""Time"": ""12:00 PM"", ""Language"": ""English""}, {""Time"": ""7:00 PM"", ""Language"": ""Portuguese""}","{""Time"": ""12:00 PM"", ""Language"": ""English""}","{""Time"": ""12:00 PM"", ""Language"": ""English""}"
58,5:30 PM,"9:00 AM, 10:30 AM, 12:00 PM, 5:00 PM",NA,NA,NA,NA,NA
59,"12:05 PM, 4:00 PM, 7:30 PM (en Espanol)","8:00 AM, 10:00 AM, 12:00 PM","8:00 AM, 12:05 PM","8:00 AM, 12:05 PM","8:00 AM, 12:05 PM","8:00 AM, 12:05 PM","8:00 AM, 12:05 PM"
60,5:00 PM,"7:30 AM, 11:00 AM, 7:00 PM, 12:30 PM (English), 1:30 PM (Polish)","7:00 AM (chapel), 7:00 PM","7:00 AM (chapel), 7:00 PM","7:00 AM (chapel), 7:00 PM","7:00 AM (chapel), 7:00 PM","7:00 AM (chapel), 7:00 PM"
