ParishID,Adoration,Confession
939,Yes,Yes
940,No,No
941,Yes,Yes
942,Yes,Yes
943,Yes,Yes
944,No,Yes
945,Yes,Yes
946,No,No
947,Yes,Yes
948,No,Yes
949,No,No
950,Yes,Yes
951,Yes,Yes
952,No,Yes
953,Yes,Yes
954,No,Yes
955,Yes,Yes
956,Yes,Yes
957,No,Yes
958,Yes,Yes
959,No,Yes
960,No,Yes
961,No,No
962,No,Yes
963,Yes,Yes
964,No,Yes
965,Yes,Yes
966,Yes,Yes
967,No,Yes
968,No,No
969,No,Yes
970,No,Yes
971,No,Yes
972,No,Yes
973,Yes,Yes
974,Yes,Yes
975,No,Yes
976,No,Yes
977,Yes,Yes
978,No,No
979,No,Yes
980,Yes,Yes
981,No,No
982,Yes,Yes
983,No,Yes
984,No,Yes
985,Yes,Yes
986,Yes,Yes
987,Yes,Yes
988,No,No
989,Yes,Yes
990,Yes,Yes
991,Yes,Yes
992,Yes,Yes
993,Yes,Yes
994,No,No
995,Yes,No
996,Yes,Yes
997,Yes,Yes
998,Yes,Yes
999,No,Yes
1000,Yes,Yes
1001,No,Yes
1002,No,No
1003,Yes,Yes
1004,Yes,Yes
1005,Yes,Yes
1006,Yes,Yes
1007,Yes,Yes
1008,Yes,Yes
1009,Yes,Yes
1010,Yes,Yes
1011,Yes,Yes
1012,Yes,Yes
1013,Yes,Yes
1014,Yes,Yes
1015,No,Yes
1016,Yes,Yes
1017,Yes,Yes
1018,No,Yes
1019,No,Yes
1020,Yes,Yes
1021,Yes,Yes
1022,Yes,Yes
1023,Yes,Yes
1024,Yes,Yes
1025,Yes,Yes
1026,No,No
1027,No,Yes
1028,Yes,Yes
1029,No,Yes
1030,No,Yes
1031,No,No
1032,Yes,Yes
1033,Yes,Yes
1034,Yes,Yes
1035,No,No
1036,No,No
1037,No,Yes
1038,No,No
1039,Yes,Yes
1040,Yes,Yes
1041,No,Yes
1042,Yes,Yes
1043,No,Yes
1044,Yes,Yes
1045,Yes,Yes
1046,Yes,Yes
1047,Yes,Yes
1048,Yes,Yes
1049,No,Yes
1050,Yes,Yes
1051,Yes,Yes
1052,Yes,Yes
1053,Yes,Yes
1054,Yes,Yes
1055,Yes,Yes
1056,Yes,Yes
1057,Yes,Yes
1058,No,No
1059,Yes,Yes
1060,Yes,Yes
1061,No,No
1062,Yes,Yes
1063,No,No
1064,No,Yes
1065,Yes,No
1066,Yes,Yes
1067,No,No
1068,Yes,Yes
1069,Yes,Yes
1070,Yes,Yes
1071,No,Yes
1072,Yes,No
1073,No,Yes
1074,Yes,Yes
1075,Yes,Yes
1076,No,No
1077,Yes,Yes
1078,Yes,Yes
1079,Yes,Yes
1080,Yes,Yes
1081,No,No
1082,No,Yes
1083,No,No
1084,Yes,Yes
1085,Yes,Yes
1086,No,Yes
1087,Yes,Yes
1088,No,Yes
1089,Yes,Yes
1090,Yes,Yes
1091,Yes,Yes
1092,Yes,Yes
1093,No,Yes
1094,No,Yes
1095,Yes,Yes
1096,No,No
1097,Yes,Yes
1098,Yes,Yes
1099,Yes,Yes
1100,No,Yes
