ParishID,Saturday,Sunday,Monday,Tuesday,Wednesday,Thursday,Friday
ParishID,,,,,,,
378,2:30 PM - 3:30 PM,,,,,,
379,,,,,,,
380,,,,,,,
381,3:00 PM - 3:45 PM,,,,,5:30 PM - 6:30 PM,
382,,,,,,,
383,,,,,,,
384,3:00 PM,,,,,,
385,,,,,,,
386,10:00 AM - 11:30 AM,,,,,,
387,3:00 PM - 3:45 PM,,6:00 PM - 7:00 PM,,,,9:45 AM - 10:30 AM
388,,,,,,,
389,,,,,,,
390,3:30 PM,,,,,,
391,3:15 PM - 3:45 PM,,,,,,
392,1:30 PM - 3:30 PM,3:00 PM - 4:00 PM,10:00 AM - 1:00 PM,10:00 AM - 1:00 PM,10:00 AM - 1:00 PM,10:00 AM - 1:00 PM,10:00 AM - 1:00 PM
393,,,,,,,
394,,,,,,,
395,,10:30 AM - 12:30 PM,,,,,
396,,,,,,,
397,11:00 AM - 12:00 PM,,,,,,
398,,,,,,,
399,3:30 PM - 3:50 PM,8:30 AM - 8:50 AM,,,,,
400,4:00 PM - 4:45 PM,,,,,,
401,,,,,,,
402,4:00 PM - 4:45 PM,,,,,,
403,,,,,,,
404,10:30 AM,10:00 AM,11:30 AM,11:30 AM,11:30 AM,11:30 AM,11:30 AM
405,8:00 AM - 8:45 AM,,,,,,6:00 PM - 6:45 PM
406,,,,,,,
407,9:40 AM - 11:40 AM,,8:30 AM - 11:40 AM,8:30 AM - 11:40 AM,8:30 AM - 11:40 AM,8:30 AM - 11:40 AM,8:30 AM - 11:40 AM
408,3:15 PM - 3:45 PM,,,8 AM,,,
409,,,,,,,
410,12:00 PM - 1:00 PM,,,,,,
411,3:00 PM - 3:45 PM,,,,,,
412,9:30 AM - 10:30 AM,,,,,,
413,,,,,,,
414,,,,,,,
415,,,,,,,
416,9:00 AM - 10:00 AM,,,,,,
417,3:30 PM - 3:50 PM,,,,,,
418,3:00 PM - 3:30 PM,,,,,,
419,,,,,,,
420,1:00 PM - 2:30 PM,,,7:00 PM - 8:00 PM,,,
421,,,,,,,
422,,,,,,,
423,7:00 PM - 9:00 PM,,,,,,
424,,,,,,,
425,,,5:00 PM - 6:30 PM,,,,5:00 PM - 6:30 PM
426,3:00 PM - 3:45 PM,,,,,,
427,,,,,,,
428,,,,,,,
429,10:00 AM - 1:00 PM,,10:00 AM - 12:00 PM,10:00 AM - 12:00 PM,10:00 AM - 12:00 PM,10:00 AM - 12:00 PM,10:00 AM - 12:00 PM
430,3:00 PM - 3:45 PM,,,,,,
431,,,,,,,
432,,,,,,,
433,2:30 PM - 3:45 PM,,,11:00 AM - 12:00 PM,,,3:00 PM - 4:00 PM
434,8:00 AM,,,,,,
435,12:45 PM,,,,,,
436,3:15 PM,,,,,,
437,8:30 AM - 9:30 AM,,,,,,
438,7:00 PM - 9:00 PM,,,,,,
439,9:30 AM - 10:30 AM,,6:00 PM - 7:00 PM,,,,
440,3:00 PM - 3:30 PM,,,,,,
441,3:00 PM - 3:45 PM,,,,,5:00 PM - 6:00 PM,9:00 AM
442,3:15 PM,,,,,,
443,01:00 PM - 02:00 PM,,,05:45 PM - 06:45 PM,,,
444,,,,,,,
445,,,,,,,
446,3:00 PM - 3:45 PM,,11:20 AM - 11:50 AM,11:20 AM - 11:50 AM,11:20 AM - 11:50 AM,11:20 AM - 11:50 AM,11:20 AM - 11:50 AM
447,3:00 PM - 4:30 PM,,,,,1:30 PM - 3:30 PM,
448,3:15 PM - 3:45 PM,,,,,,
449,,,,,,,
450,,,,,,,
451,,,,,,,
452,,,,,,,
453,,,,,,,
454,,,,,,,
455,9:45 AM - 10:30 AM,,,,,,
456,6:00 PM,9:30 AM - 10:00 AM,7:00 PM - 8:00 PM,,7:00 PM,9:30 AM - 11:00 AM,
457,2:30 PM - 4:00 PM,,,,,,6:00 PM - 7:00 PM
458,,,,,,,
459,3:00 PM - 3:45 PM,,,,,,
460,,,,,,,
461,4:00 PM - 4:45 PM,,,7:00 PM - 8:00 PM,,,
462,4:00 PM - 4:45 PM,,,,,,
463,,,,,,,
464,,,,,,,
465,,,,,,,
466,,,,,,,
467,4:00 PM - 4:45 PM,,,,,,
468,,,,,,,
469,,,,,,,
470,3:30 PM - 4:50 PM,9:00 AM - 9:50 AM,7:30 AM - 8:00 AM,7:30 AM - 8:00 AM,7:30 AM - 8:00 AM,7:30 AM - 8:00 AM,7:30 AM - 8:00 AM
471,,,,,,,
472,4:00 PM - 4:45 PM,,,12:00 PM - 6:30 PM,,,
473,3:00 PM,,,,,,
474,,,,10:00 AM - 11:00 AM,,6:30 PM - 7:30 PM,
