ParishID,Adoration_Times,Saturday,Sunday,Monday,Tuesday,Wednesday,Thursday,Friday
146,"{""Tuesday"": ""6:00 PM - 7:00 PM"",""Last_Sunday_of_the_month"": ""10:00 AM - 11:00 AM""}",,6:00 PM - 7:00 PM,,6:00 PM - 7:00 PM,,,
147,,,,,,,,
148,,,,,,,,
149,"{""1st & 3rd Wednesday"": ""9:00 AM - 9:00 PM""}",,,,,9:00 AM - 9:00 PM,,
150,"{""Monday"": ""9:00 AM - 9:00 PM"",""Tuesday"": ""9:00 AM - 9:00 PM"",""Wednesday"": ""9:00 AM - 9:00 PM"",""Thursday"": ""9:00 AM - 9:00 PM"",""Friday"": ""9:00 AM - 9:00 PM""}",,,9:00 AM - 9:00 PM,9:00 AM - 9:00 PM,9:00 AM - 9:00 PM,9:00 AM - 9:00 PM,9:00 AM - 9:00 PM
151,"[""8:30 AM Friday"",""6:00 PM Friday""]",,,,,,,8:30 AM
152,,,,,,,,
153,,,,,,,,
154,,,,,,,,
155,,,,,,,,
156,"{""Current"": ""Wednesdays from 1:00 PM - 7:00 PM and First Fridays 7:00 AM - 9:00 AM until Jan. 8"",""After Jan. 8"": ""St. Patrick Chapel""}",,,,,1:00 PM - 7:00 PM,,1:00 PM - 7:00 PM
157,,,,,,,,
158,"{""Saturday"": ""4:00 PM"",""Sunday"": ""8:00 AM""}",4:00 PM,4:00 PM,,,,,
159,"{""Wednesdays"": ""1:00 PM - 7:00 PM"",""First Fridays"": ""7:00 AM - 9:00 AM""}",,,,,1:00 PM - 7:00 PM,,1:00 PM - 7:00 PM
160,"{""First Friday of the month"": ""NA""}",,,,,,,
161,,,,,,,,
162,"{""Regular"": ""Friday before Mass beginning at 5:30 PM"",""Perpetual"": ""Available in the Chapel of the Good Shepherd""}",,,,,,,5:30 PM
163,,,,,,,,
164,,,,,,,,
165,,,,,,,,
166,,,,,,,,
167,"{""Wednesday"": ""3:00 PM - 4:00 PM"",""Saturday"": ""7:00 AM - 1:00 PM""}",3:00 PM - 4:00 PM,,,,3:00 PM - 4:00 PM,,
168,"{""First Friday"": ""After the 8 AM Mass at Enochsburg until 9:30 AM""}",,,,,,,8 AM
169,"{""Open"": ""Sunday 1:00 PM until Saturday 8:00 AM"",""Drop-in"": ""7:00 AM to 7:00 PM Monday to Friday and Sunday 1:00 PM to 7:00 PM""}",1:00 PM - 7:00 AM,1:00 PM - 7:00 AM,1:00 PM - 7:00 AM,,,,1:00 PM - 7:00 AM
170,,,,,,,,
171,"{""1st Sunday"": ""30 min. before Mass"",""2nd & 4th Thursday"": ""4:30 PM - 5:30 PM""}",,4:30 PM - 5:30 PM,,,,4:30 PM - 5:30 PM,
172,"{""First Tuesday"": ""suspended indefinitely"",""Other Tuesdays"": ""6:00 PM - 8:00 PM"",""First Friday"": ""8:30 AM on Friday to 8:00 AM on Saturday""}",6:00 PM - 8:00 PM,,,6:00 PM - 8:00 PM,,,6:00 PM - 8:00 PM
173,"{""1st Friday"": ""9:00 AM - 9:00 PM""}",,,,,,,9:00 AM - 9:00 PM
174,"{""Monday - Wednesday"": ""4:00 AM - Midnight"",""Thursday"": ""4:00 AM - 4:00 PM"",""Chapel"": ""Open for prayer 7 days/week 8:00 AM - 8:00 PM""}",,,4:00 AM,,4:00 AM,4:00 AM,
175,"{""St. John the Apostle"": ""Exposition and Adoration begins on the eve of the first Friday of the month immediately after the 5:30 PM Mass and concludes with Mass Friday morning at 8:30 AM."",""General"": ""NA""}",,,,,,,5:30 PM
176,,,,,,,,
177,Third Thursday each month from 11:00 AM to 7:00 PM,,,,,,11:00 AM - 7:00 PM,
178,,,,,,,,
179,"{""St. John the Apostle"": ""Exposition and Adoration begins on the eve of the first Friday of the month immediately after the 5:30 PM Mass and concludes with Mass Friday morning at 8:30 AM."",""General"": ""NA""}",,,,,,,5:30 PM
180,"{""St. Teresa"": ""Wednesdays - 9:00 AM - 9:00 PM""}",,,,,9:00 AM,,
181,"{""Tuesday"": ""5:00 PM - 6:00 PM"",""Friday"": ""9:00 AM""}",,,,5:00 PM - 6:00 PM,,,5:00 PM - 6:00 PM
182,"{""Friday"": ""9:30 AM - 10:30 AM""}",,,,,,,9:30 AM - 10:30 AM
183,"{""Wednesday"": ""4:00 PM""}",,,,,4:00 PM,,
184,"{""1st & 3rd Monday"": ""12:00 PM"",""2nd & 4th Wednesday"": ""6:00 PM""}",,,12:00 PM,,12:00 PM,,
185,,,,,,,,
186,"{""Monday"": ""7:00 AM - 7:00 PM"",""Tuesday"": ""7:00 AM - 7:00 PM"",""Wednesday"": ""7:00 AM - 7:00 PM"",""Thursday"": ""7:00 AM - 7:00 PM"",""Friday"": ""7:00 AM - 7:00 PM"",""Saturday"": ""9:00 AM - 9:00 PM"",""Sunday"": ""9:00 AM - 9:00 PM""}",7:00 AM - 7:00 PM,7:00 AM - 7:00 PM,7:00 AM - 7:00 PM,7:00 AM - 7:00 PM,7:00 AM - 7:00 PM,7:00 AM - 7:00 PM,7:00 AM - 7:00 PM
187,"{""First Friday"": ""After 12:05 PM Mass""}",,,,,,,12:05 PM
188,,,,,,,,
189,Wednesday after the evening Mass until 7:30 PM,,,,,7:30 PM,,
190,"{""St. Michael"": {""Thursday"": ""following 8:35 AM Mass until 10:00 AM"",""1st Friday"": ""each month following 7:30 AM Mass until 9:00 AM""},""St. Peter"": {""Wednesday"": ""5:00 PM until Mass at 6:00 PM""}}",,,,,8:35 AM,8:35 AM,8:35 AM
191,,,,,,,,
192,"{""Tuesday"": ""6:30 PM - 9:00 PM"",""Wednesday"": ""6:30 PM - 9:00 PM"",""Thursday"": ""6:30 PM - 9:00 PM""}",,,,6:30 PM - 9:00 PM,6:30 PM - 9:00 PM,6:30 PM - 9:00 PM,
