ParishID,Saturday,Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Language
67,4:30 PM,"8:30 AM, 10:30 AM, 12:00 PM",8:30 AM,8:30 AM,8:30 AM,8:30 AM,8:30 AM,English
68,5:00 PM,"7:30 AM, 9:30 AM, 11:30 AM",,,,,,English
69,8:00 PM,"8:00 AM, 10:30 AM",9:30 AM,9:30 AM,9:30 AM,9:30 AM,9:30 AM,English
70,5:00 PM,"9:00 AM, 11:30 AM",,,,,,English
71,,,,,7:00 PM,,,English
72,"12:10 PM, 5:00 PM","8:00 AM, 10:15 AM, 12:00 PM","12:10 PM, 7:30 PM",12:10 PM,12:10 PM,12:10 PM,12:10 PM,English
73,,7:00 PM,5:30 PM,5:30 PM,5:30 PM,8:00 PM,8:30 AM,English
74,4:30 PM,"11:00 AM, 6:00 PM",8:30 AM,,8:30 AM,8:30 AM,8:30 AM,English
75,,"9:00 AM, 11:00 AM, 1:00 PM",,,,,,English
76,5:00 PM,10:30 AM,8:00 AM,8:00 AM,8:00 AM,8:00 AM,8:00 AM,English
77,5:00 PM,"7:30 AM, 9:30 AM, 11:30 AM",8:30 AM,8:30 AM,8:30 AM,8:30 AM,8:30 AM,English
78,,,,,,,,English
79,5:00 PM,"7:30 AM, 9:00 AM, 10:30 AM, 12:00 PM",,,,,,English
80,"8:30 AM, 5:00 PM","7:30 AM, 10:00 AM, 12:00 PM","7:00 AM, 12:10 PM","7:00 AM, 12:10 PM","7:00 AM, 12:10 PM","7:00 AM, 12:10 PM","7:00 AM, 12:10 PM",English
81,,,,,,,,English
82,5:00 PM,"8:00 AM, 11:00 AM, 9:30 AM",6:00 PM,7:30 AM,6:00 PM,7:30 AM,6:00 PM,"English, Spanish"
83,,,,,,,,English
84,5:30 PM,"7:30 AM, 9:00 AM, 10:15 AM, 11:30 AM",9:00 AM,9:00 AM,9:00 AM,9:00 AM,9:00 AM,English
85,"7:00 AM, 9:00 AM, 6:00 PM","8:00 AM, 9:00 AM, 11:00 AM, 12:30 PM, 5:30 PM, 12:30 PM, 5:30 PM","7:00 AM, 9:00 AM, 5:30 PM","7:00 AM, 9:00 AM, 5:30 PM","7:00 AM, 9:00 AM, 5:30 PM","7:00 AM, 9:00 AM, 5:30 PM","7:00 AM, 9:00 AM, 5:30 PM","English, French, Italian, Spanish"
86,,"7:00 AM, 8:30 AM, 10:00 AM, 11:30 AM, 1:00 PM","8:00 AM, 7:00 PM","8:00 AM, 7:00 PM","8:00 AM, 7:00 PM","8:00 AM, 7:00 PM","8:00 AM, 7:00 PM","English, Spanish"
87,10:30 AM,"8:00 AM, 12:00 PM, 10:00 AM",6:00 PM,6:00 PM,6:00 PM,6:00 PM,6:00 PM,English
88,7:30 AM,"9:00 AM, 10:30 AM, 12:00 PM",7:00 PM,7:30 AM,7:30 AM,7:30 AM,7:00 PM,English
89,"3:00 PM, 4:00 PM","9:00 AM, 10:00 AM",,,,,,English
